,cell name,mortality,status
0,23-8-B,26,1
1,21-1-AH,27,1
2,17-11-AT,28,1
3,29-17-BH,28,1
4,27-11-AH,28,1
5,25-11-AT,29,1
6,27-1-A,29,1
7,24-12-BT,29,1
8,27-16-ATH,29,1
9,19-15-A,30,1
10,17-11-AH,30,1
11,28-7-A,31,1
12,23-5-AT,31,1
13,14-8-AT,32,1
14,11-1-A,33,1
15,24-14-A,33,1
16,1-5-AT,33,1
17,4-11-A,34,1
18,20-13-AT,34,1
19,4-13-AH,35,1
20,13-9-AT,35,1
21,18-18-A,35,1
22,23-9-BH,35,1
23,21-3-AT,35,1
24,22-12-A,35,1
25,16-14-AH,35,1
26,10-1-AH,36,1
27,20-4-AH,36,1
28,11-2-AH,36,1
29,16-13-A,36,1
30,20-4-AT,36,1
31,23-6-A,36,1
32,26-9-CT,36,1
33,19-18-A,37,1
34,13-18-A,37,1
35,16-14-AT,37,1
36,22-7-AT,37,1
37,25-9-AH,37,1
38,21-1-AT,37,1
39,17-2-B,38,1
40,29-17-BT,38,1
41,10-7-A,38,1
42,1-11-A,38,1
43,26-7-ATH,38,1
44,26-9-CH,38,1
45,5-8-AH,38,1
46,27-12-A,38,1
47,11-12-AT,39,1
48,4-13-AT,39,1
49,27-13-A,39,1
50,29-15-B,40,1
51,22-7-AH,40,1
52,14-15-A,40,1
53,22-5-BH,40,1
54,18-3-AT,40,1
55,18-6-AH,41,1
56,22-5-BT,41,1
57,22-11-AT,41,1
58,22-11-AH,41,1
59,14-9-BT,41,1
60,12-7-AH,41,1
61,14-9-BH,42,1
62,23-10-AH,42,1
63,5-15-A,42,1
64,19-8-CH,42,1
65,15-5-A,43,1
66,2-8-AT,43,1
67,27-11-AT,43,1
68,20-13-AH,43,1
69,7-11-AT,43,1
70,25-9-AT,43,1
71,19-2-A,43,1
72,18-8-A,43,1
73,19-8-B,43,1
74,13-2-BH,43,1
75,11-2-AT,43,1
76,2-4-AH,44,1
77,2-4-ATH,44,1
78,12-14-A,44,1
79,6-4-A,44,1
80,19-10-A,44,1
81,4-6-AT,45,1
82,6-7-AT,45,1
83,22-8-A,45,1
84,19-17-AT,45,1
85,25-4-A,45,1
86,24-12-BH,45,1
87,22-18-AH,45,1
88,18-2-AH,45,1
89,10-13-A,45,1
90,19-4-BH,45,1
91,12-7-ATH,46,1
92,25-11-AH,46,1
93,2-8-AH,46,1
94,16-9-AH,46,1
95,18-6-AT,47,1
96,9-18-A,47,1
97,13-15-A,47,1
98,12-16-A,47,1
99,10-3-AT,47,1
100,5-12-AH,48,1
101,23-10-AT,49,1
102,17-6-A,49,1
103,18-2-AT,49,1
104,10-3-AH,50,1
105,5-12-AT,50,1
106,14-1-AT,50,1
107,4-1-AH,50,1
108,26-7-AH,51,1
109,6-7-AH,51,1
110,9-13-A,51,1
111,27-16-AH,51,1
112,10-1-AT,52,1
113,4-6-AH,52,1
114,19-12-BH,52,1
115,18-3-AH,53,1
116,23-5-BH,53,1
117,18-9-A,53,1
118,8-12-AHH,53,1
119,8-7-AT,53,1
120,8-7-AH,53,1
121,4-1-AT,53,1
122,14-8-AH,54,1
123,13-9-AH,54,1
124,3-14-AH,54,1
125,1-17-AH,54,1
126,8-12-AHT,55,1
127,21-3-AH,55,1
128,23-18-A,56,1
129,23-14-A,56,1
130,3-17-A,56,1
131,2-16-A,56,1
132,24-9-A,57,1
133,3-16-A,58,1
134,19-8-A,58,1
135,7-11-AH,61,1
136,6-18-A,63,1
137,11-12-AH,63,1
138,19-12-A,64,1
139,14-1-AH,72,1
140,1-5-AH,75,1
